lat,long,name,firstname,live_year,Dates de vie et de mort,Ville ou pays d'origine,Liens familiaux,Titre,Lieux d'habitations,Œuvres parisiennes,Œuvres versaillaises,autres œuvres,notes,documents,Collaborations connues,Inventaire après décès
48.864005,2.3338794999999664,ALEXANDRE,Charles-Nicolas,1700,,,Marié à Marie-Elizabeth Macart en 1700,"En 1700, qualifié de maitre sculpteur, En 1704 : qualifié de maitre sculpteur. En 1720 : Sculpteur des bâtiments du roi","En 1700, il réside rue Neuve-Saint-Honoré, paroisse St Roch",,,,"Le 16 juin 1705, Dépôt au minutier d'un rapport de visite fait par Denis Martin, sculpteur, ancien garde et juré de la communauté des arts de peinture et de sculpture de la vill, faubourg et banlieu de Paris, concernant un litige entre le sculpteur et son commanditaire concernant une oeuvre. Charles Nicolas Alexandre y est décrit comme un médiocre sculpteur (MC/ET/VII/175). A son mariage : Pierre Delisle Mansart, conseiller architecte controleur des bâtiments du roy (F.L. 213). Dans fichier Laborde 27311 un sculpteur ,ommé Charles Alexandre demeure rue de Bourbon, paroisse ST Laurent.",MC : MC/ET/CXVIII/238 et MC/ET/CXVIII/328 et MC/ET/VII/163 et MC/ET/VII/204,,
48.864005,2.3338794999999664,ALEXANDRE,Charles-Nicolas,1695,,,Marié à Marie-Elizabeth Macart en 1700,"En 1700, qualifié de maitre sculpteur, En 1704 : qualifié de maitre sculpteur. En 1720 : Sculpteur des bâtiments du roi","En 1700, il réside rue Neuve-Saint-Honoré, paroisse St Roch.",,,,"Le 16 juin 1705, Dépôt au minutier d'un rapport de visite fait par Denis Martin, sculpteur, ancien garde et juré de la communauté des arts de peinture et de sculpture de la vill, faubourg et banlieu de Paris, concernant un litige entre le sculpteur et son commanditaire concernant une oeuvre. Charles Nicolas Alexandre y est décrit comme un médiocre sculpteur (MC/ET/VII/175). A son mariage : Pierre Delisle Mansart, conseiller architecte controleur des bâtiments du roy (F.L. 213). Dans fichier Laborde 27311 un sculpteur ,ommé Charles Alexandre demeure rue de Bourbon, paroisse ST Laurent.",MC : MC/ET/CXVIII/238 et MC/ET/CXVIII/328 et MC/ET/VII/163 et MC/ET/VII/204,,
48.869548,2.349702,ALEXANDRE,Charles-Nicolas,1695,,,Marié à Marie-Elizabeth Macart en 1700,"En 1700, qualifié de maitre sculpteur, En 1704 : qualifié de maitre sculpteur. En 1720 : Sculpteur des bâtiments du roi","En 1704 : Bail pour neuf ans pour deux maisons à Villeneuve, 330 livres de loyer annuel.",,,,"Le 16 juin 1705, Dépôt au minutier d'un rapport de visite fait par Denis Martin, sculpteur, ancien garde et juré de la communauté des arts de peinture et de sculpture de la vill, faubourg et banlieu de Paris, concernant un litige entre le sculpteur et son commanditaire concernant une oeuvre. Charles Nicolas Alexandre y est décrit comme un médiocre sculpteur (MC/ET/VII/175). A son mariage : Pierre Delisle Mansart, conseiller architecte controleur des bâtiments du roy (F.L. 213). Dans fichier Laborde 27311 un sculpteur ,ommé Charles Alexandre demeure rue de Bourbon, paroisse ST Laurent.",MC : MC/ET/CXVIII/238 et MC/ET/CXVIII/328 et MC/ET/VII/163 et MC/ET/VII/204,,
48.868514,2.349478,ALEXANDRE,Charles-Nicolas,1656,,,Marié à Marie-Elizabeth Macart en 1700,"En 1700, qualifié de maitre sculpteur, En 1704 : qualifié de maitre sculpteur. En 1720 : Sculpteur des bâtiments du roi","1714 : bail pour neuf pour une maison sise rue de Bourbon à la villeneuve (précisé qu'ils y habitent depuis longtemps), 93 livres de loyer annuel.En 1725 ils sont dits vivant rue de Bourbon, et vendeurs d'une maison sise à Villeneuve qu'ils avait acheté 15 000 livre en 1720.",,,,"Le 16 juin 1705, Dépôt au minutier d'un rapport de visite fait par Denis Martin, sculpteur, ancien garde et juré de la communauté des arts de peinture et de sculpture de la vill, faubourg et banlieu de Paris, concernant un litige entre le sculpteur et son commanditaire concernant une oeuvre. Charles Nicolas Alexandre y est décrit comme un médiocre sculpteur (MC/ET/VII/175). A son mariage : Pierre Delisle Mansart, conseiller architecte controleur des bâtiments du roy (F.L. 213). Dans fichier Laborde 27311 un sculpteur ,ommé Charles Alexandre demeure rue de Bourbon, paroisse ST Laurent.",MC : MC/ET/CXVIII/238 et MC/ET/CXVIII/328 et MC/ET/VII/163 et MC/ET/VII/204,,
48.868979,2.351151,ALEXANDRE,Charles-Nicolas,1643,,,Marié à Marie-Elizabeth Macart en 1700,"En 1700, qualifié de maitre sculpteur, En 1704 : qualifié de maitre sculpteur. En 1720 : Sculpteur des bâtiments du roi",1720 : vit avec sa femme rue sainte-foy.,,,,"Le 16 juin 1705, Dépôt au minutier d'un rapport de visite fait par Denis Martin, sculpteur, ancien garde et juré de la communauté des arts de peinture et de sculpture de la vill, faubourg et banlieu de Paris, concernant un litige entre le sculpteur et son commanditaire concernant une oeuvre. Charles Nicolas Alexandre y est décrit comme un médiocre sculpteur (MC/ET/VII/175). A son mariage : Pierre Delisle Mansart, conseiller architecte controleur des bâtiments du roy (F.L. 213). Dans fichier Laborde 27311 un sculpteur ,ommé Charles Alexandre demeure rue de Bourbon, paroisse ST Laurent.",MC : MC/ET/CXVIII/238 et MC/ET/CXVIII/328 et MC/ET/VII/163 et MC/ET/VII/204,,
48.853895,2.332636,ALLEGRAIN,Jean-Baptiste,,"Né le 8 février 1644, vivait encore en 1708. Déjà mort en 1714.",,"Frère du paysagiste Etienne Allegrain et grand oncle du scultpeur du XVIIIe siècle, Gabriel Christophe.",,"En 1708 : demeure carrefour St Benoit, paroisse ST Sulpice.",,,,,,,
48.858503,2.346513,AMOURETTE,Henry,,En 1715 il est déjà mort.,,"Marié à Geneviève Saint-Lain. Un fils : Charles François, une fille Marguerite Geneviève Lamourette","En 1686, qualifié de maitre sculpteur, en 1715 de sculpteur du roi au Louvre",En 1686 ils habitent rue Jean Loistier (certainement rue Jean Lantier),,,,"Le marquis Léon de Laborde a transcrit ""rue Jean Loistier"", rue inexistante; Je pense qu'il s'agit d'une erreur de transcription et que le nom exact de la rue est ""Jean Lantier"" que j'ai retenue pour la cartographie. ",F. L. 573 et F. L. 574,,
48.835096,2.352749,AUDRAN,Gabriel,,1659-1740,Né à Lyon.,Fait partie de la célèbre famille de graveurs du XVIIe,Sculpteur et peintre des bâtiments du roi. ,"En 1694 : habite à Paris, à l'hôtel royal des Gobelins",,,,,LAMY,,
48.853427,2.34094,ARMAND,Louis,,,,,Qualifié de sculpteur en 1698 (F. L. 926),"En 1686, habite rue St André, paroisse St Sulpice.",,,,,F. L. 926,,
48.864714,2.356098,ASSELINE,François,,,,,En 1692 : maitre sculpteur,"En 1692 : demeure rue aux maires, paroisse St Nicolas des Champs.",,,,"Assiste au mariage de Pierre François (Sculpteur) et Geneviève Jolibois, il est le cousin germain du marié. La rue aux maires est aussi nommée rue au maire.",FL28034,,
